Year,Month,Day,Hour,Minute,Temperature,GHI
2019,1,1,0,30,21.4,0
2019,1,1,1,30,20.9,0
2019,1,1,2,30,20.3,0
2019,1,1,3,30,19.7,0
2019,1,1,4,30,19.1,0
2019,1,1,5,30,19.3,0
2019,1,1,6,30,21,71
2019,1,1,7,30,24.1,284
2019,1,1,8,30,27.9,503
2019,1,1,9,30,31.3,643
2019,1,1,10,30,33.8,764
2019,1,1,11,30,35.3,817
2019,1,1,12,30,36.1,786
2019,1,1,13,30,36.2,688
2019,1,1,14,30,35.7,527
2019,1,1,15,30,33.8,324
2019,1,1,16,30,30.6,112
2019,1,1,17,30,28.1,0
2019,1,1,18,30,26.7,0
2019,1,1,19,30,25.3,0
2019,1,1,20,30,24,0
2019,1,1,21,30,22.9,0
2019,1,1,22,30,21.9,0
2019,1,1,23,30,21.4,0
2019,1,2,0,30,20.2,0
2019,1,2,1,30,19.4,0
2019,1,2,2,30,18.6,0
2019,1,2,3,30,17.8,0
2019,1,2,4,30,17.3,0
2019,1,2,5,30,17.7,0
2019,1,2,6,30,19.6,89
2019,1,2,7,30,23.1,311
2019,1,2,8,30,27.2,531
2019,1,2,9,30,30.8,687
2019,1,2,10,30,33.1,805
2019,1,2,11,30,34.3,851
2019,1,2,12,30,34.8,806
2019,1,2,13,30,34.8,703
2019,1,2,14,30,34.3,539
2019,1,2,15,30,32.5,332
2019,1,2,16,30,29.5,113
2019,1,2,17,30,27.2,0
2019,1,2,18,30,26.1,0
2019,1,2,19,30,25,0
2019,1,2,20,30,23.7,0
2019,1,2,21,30,22.5,0
2019,1,2,22,30,21.4,0
2019,1,2,23,30,20.9,0
2019,1,3,0,30,19.7,0
2019,1,3,1,30,19.1,0
2019,1,3,2,30,18.5,0
2019,1,3,3,30,17.8,0
2019,1,3,4,30,17.2,0
2019,1,3,5,30,17.5,0
2019,1,3,6,30,19.4,73
2019,1,3,7,30,22.7,286
2019,1,3,8,30,26.9,446
2019,1,3,9,30,30.4,679
2019,1,3,10,30,32.7,799
2019,1,3,11,30,34.2,843
2019,1,3,12,30,34.9,672
2019,1,3,13,30,35.1,673
2019,1,3,14,30,34.6,514
2019,1,3,15,30,32.9,299
2019,1,3,16,30,29.8,114
2019,1,3,17,30,27.4,0
2019,1,3,18,30,26,0
2019,1,3,19,30,24.9,0
2019,1,3,20,30,24,0
2019,1,3,21,30,23,0
2019,1,3,22,30,22.2,0
2019,1,3,23,30,21.8,0
2019,1,4,0,30,20.9,0
2019,1,4,1,30,20.3,0
2019,1,4,2,30,19.8,0
2019,1,4,3,30,19.4,0
2019,1,4,4,30,19,0
2019,1,4,5,30,19.6,0
2019,1,4,6,30,21.8,65
2019,1,4,7,30,25.1,272
2019,1,4,8,30,28.5,484
2019,1,4,9,30,31.5,637
2019,1,4,10,30,33.4,756
2019,1,4,11,30,34.3,805
2019,1,4,12,30,34.3,771
2019,1,4,13,30,34,671
2019,1,4,14,30,33.2,509
2019,1,4,15,30,31.1,308
2019,1,4,16,30,28.5,98
2019,1,4,17,30,26.9,0
2019,1,4,18,30,26.1,0
2019,1,4,19,30,25.6,0
2019,1,4,20,30,25,0
2019,1,4,21,30,24.3,0
2019,1,4,22,30,23.5,0
2019,1,4,23,30,23,0
2019,1,5,0,30,21.6,0
2019,1,5,1,30,20.9,0
2019,1,5,2,30,20.2,0
